Product ID,SKU,Display Name,Display name - fr
4276,CHR-100-04,Red Christmas tie Snowmen,Translation Error
4277,CHR-100-05,Blue Christmas tie Snowman,Translation Error
4278,CHR-100-07,Green Christmas tie Rudolf,Translation Error
4281,CHR-100-10-01,Boys blue Christmas tie Santa,Translation Error
4282,CHR-100-10-02,Boys green Christmas tie Santa,Translation Error
4283,CHR-100-10-03,Boys burgundy Christmas tie Santa,Translation Error
4284,CHR-100-11,Navy Christmas tie Tree,Translation Error
4285,CHR-100-12,Blue Christmas tie Merry,Translation Error
4286,CHR-100-13,Navy Christmas tie Penguin,Translation Error
4287,CHR-100-14,Red Christmas tie Penguin,Translation Error
4288,CHR-100-15,Navy Christmas tie Tree,Translation Error
4289,CHR-100-16,Red Christmas tie Tree,Translation Error
4371,DT-100-03,Purple dotted tie,Translation Error
4372,DT-100-06,Blue dotted tie,Translation Error
4374,DT-200-03,Skinny purple dotted tie,Translation Error
4375,DT-200-05,Skinny teal dotted tie,Translation Error
4376,DT-200-06,Skinny blue dotted tie,Translation Error
4378,DT-200-08,Skinny green dotted tie,Translation Error
4379,DT-200-09,Skinny navy dotted tie,Translation Error
4447,FLR-100-09,Red floral tie,Translation Error
4469,FLR-200-07,Skinny brown floral tie,Translation Error
4470,FLR-200-09,Skinny red floral tie,Translation Error
4488,FTG100-13,Pink & black striped tie,Translation Error
4489,FTG100-3,Blue & silver striped tie,Translation Error
4490,FTG100-4,Orange & white striped tie,Translation Error
4491,FTG100-5,Light blue & white striped tie,Translation Error
4494,FTG100-9,Green & yellow striped tie,Translation Error
4521,HB-200-01,Grey tie Herringbone,Translation Error
4545,ITS100-03,Light blue tie Borgio,Translation Error
4547,ITS100-05,Purple dotted tie Lago,Translation Error
4548,ITS100-06,Brown floral tie Spezia,Translation Error
4549,ITS100-07,Brown dotted tie Lago,Translation Error
4550,ITS100-08,Navy paisley tie Rocca,Translation Error
4551,ITS100-09,Navy striped tie Taormina,Translation Error
4553,ITS100-11,Brown paisley tie Rocca,Translation Error
4554,ITS100-112,Green tie Camo,Translation Error
4555,ITS100-12,Navy paisley tie Rocca,Translation Error
4557,ITS100-32,Brown tie Veneto,Translation Error
4558,ITS100-34,Moss green tie Elegante,Translation Error
4559,ITS100-35,Brown tie Herringbone,Translation Error
4560,ITS100-36,Green tie Herringbone,Translation Error
4561,ITS100-37,Blue tie Herringbone,Translation Error
4562,ITS100-38,Grey tie Herringbone,Translation Error
4563,ITS100-39,Burgundy tie Herringbone,Translation Error
4564,ITS100-40,Brown tie Herringbone,Translation Error
4565,ITS100-42,Navy Christmas tie,Translation Error
4566,ITS100-43,Green Christmas tie,Translation Error
4567,ITS100-44,Burgundy Christmas tie,Translation Error
4568,ITS100-45,Black Christmas tie,Translation Error
4569,ITS100-46,Navy Christmas tie Santas,Translation Error
4570,ITS100-47,Dark brown tie Elegante,Translation Error
4571,ITS100-49,Navy paisley tie Toscana,Translation Error
4572,ITS100-51,Green striped tie Umbria,Translation Error
4573,ITS100-52,Navy striped tie Umbria,Translation Error
4574,ITS100-56,Orange floral tie Fiori,Translation Error
4575,ITS100-57,Light blue floral tie Fiori,Translation Error
4576,ITS100-58,Green floral tie Fiori,Translation Error
4577,ITS100-59,Navy floral tie Fiori,Translation Error
4578,ITS100-62,Brown tie Elegante,Translation Error
7078,ITS100-65,Navy tie Grenadine,Translation Error
4579,ITS200-35,Skinny dark brown tie herrringbone,Translation Error
4580,ITS200-36,Skinny dark green tie herringbone,Translation Error
4581,ITS200-37,Skinny navy tie herringbone,Translation Error
4582,ITS200-38,Skinny dark grey tie Herringbone,Translation Error
4583,ITS200-39,Skinny burgundy tie herringbone,Translation Error
4584,ITS200-40,Skinny brown tie herringbone,Translation Error
4586,ITS200-47,Skinny dark brown tie herringbone,Translation Error
4587,ITS200-62,Skinny brown tie elegante,Translation Error
4792,KWD200-9,Skinny brown dotted tie knitted,Translation Error
4824,NO-100-03,Navy tie Ducks,Translation Error
4825,NO-100-04,Navy tie Pineapple,Translation Error
4831,NO-100-13,Navy tie Deer,Translation Error
4832,NO-100-14,Silver tie Leopard,Translation Error
4834,NO-100-17,Navy tie Bike,Translation Error
4835,NO-100-18,Navy tie Guns & Lips,Translation Error
4837,NO-100-20,Navy tie Flamingo,Translation Error
4838,NO-100-24,Burgundy Tie German Flags,Translation Error
4839,NO-100-26,Navy tie Swedish Flags,Translation Error
4849,NO-150-37,Navy tie Guitars,Translation Error
5714,P100-100,White tie Basic,Translation Error
5715,P100-102,Orange tie Basic,Translation Error
5716,P100-103,Red tie Basic,Translation Error
5720,P100-108,Turquoise tie Basic,Translation Error
5722,P100-110,Blue tie Basic,Translation Error
5725,P100-114,Beige tie Basic,Translation Error
5728,P100-118,Silver tie Basic,Translation Error
5731,P100-123,Mint green tie Basic,Translation Error
5732,P100-124,Apricot tie Basic,Translation Error
5733,P100-125,Dark pink tie Basic,Translation Error
5734,P100-128,Mint blue tie Basic,Translation Error
5735,P100-131,Fuchsia tie Basic,Translation Error
5736,P100-133,Teal tie Basic,Translation Error
5738,P100-139,Light pink tie Basic,Translation Error
5739,P100-140,Red tie Basic,Translation Error
5740,P100-144,Gold tie Basic,Translation Error
5773,P3100-13,White dotted tie,Translation Error
5775,P3100-3,Black dotted tie,Translation Error
5776,P3100-5,Dark purple dotted tie,Translation Error
5777,P3100-6,Blue dotted tie,Translation Error
5779,P3100-9,Light blue dotted tie,Translation Error
5781,P3200-10,Skinny yellow dotted tie,Translation Error
5783,P3200-12,Skinny grey dotted tie,Translation Error
5784,P3200-13,Skinny white dotted tie,Translation Error
5786,P3200-2,Skinny navy dotted tie,Translation Error
5787,P3200-3,Skinny black dotted tie,Translation Error
5788,P3200-5,Skinny dark purple dotted tie,Translation Error
5789,P3200-6,Skinny blue dotted tie,Translation Error
5791,P3200-8,Skinny green dotted tie,Translation Error
5792,P3200-9,Skinny light blue dotted tie,Translation Error
5870,PFL-100-122,Blue paisley tie,Translation Error
5874,PFL-100-185,Red floral tie,Translation Error
5875,PFL-100-186,Purple floral tie,Translation Error
5877,PFL-100-282,Navy dotted tie,Translation Error
5906,PSLY100-218,Silver paisley tie,Translation Error
5910,PSLY200-201,Skinny white paisley tie,Translation Error
5916,PSLY200-239,Skinny pink paisley tie,Translation Error
5954,PSS-100-01,Red paisley tie,Translation Error
5955,PSS-100-02,Brown paisley tie,Translation Error
5956,PSS-100-03,Blue paisley tie,Translation Error
6002,SA100-10,Blue tie Satin,Translation Error
6003,SA100-21,Pink tie Satin,Translation Error
6352,VE100-01,White tie Bexton,Translation Error
6353,VE100-03,Silver tie Bexton,Translation Error
6354,VE100-04,Silver tie Damask,Translation Error
6355,VE100-05,Black tie Damask,Translation Error
6356,VE100-06,Champagne tie Damask,Translation Error
6361,VE100-07,Off white tie Damask,Translation Error
6362,VE100-08-,White tie Damask,Translation Error
6363,VE100-09,White tie Niels,Translation Error
6364,VE100-10,Silver tie Niels,Translation Error
6365,VE100-10-02,Boys champagne tie Bexton,Translation Error
6368,VE100-10-05,Boys black tie Damask,Translation Error
6369,VE100-10-06,Boys champagne tie Damask,Translation Error
6370,VE100-10-07,Boys off white tie Damask,Translation Error
6371,VE100-10-08-,Boys white tie Damask,Translation Error
6372,VE100-10-09,Boys white tie Niels,Translation Error
6373,VE100-10-10,Boys silver tie Niels,Translation Error
6374,VE100-10-11,Boys champagne tie Niels,Translation Error
6375,VE100-10-12,Boys white tie Oscar,Translation Error
6376,VE100-10-13,Boys silver tie Oscar,Translation Error
6377,VE100-10-14,Boys off white tie Oscar,Translation Error
6378,VE100-10-15,Boys navy tie Damask,Translation Error
6380,VE100-10-16,Boys burgundy tie Damask,Translation Error
6381,VE100-10-17,Boys gold tie Damask,Translation Error
6382,VE100-11,Champagne tie Niels,Translation Error
6383,VE100-12,White tie Oscar,Translation Error
6384,VE100-13,Silver tie Oscar,Translation Error
6386,VE100-15,Navy tie Damask,Translation Error
6387,VE100-15-1,Navy tie Oscar,Translation Error
6388,VE100-16,Burgundy tie Damask,Translation Error
6389,VE100-17,Gold tie Damask,Translation Error
6390,VE100-18,Black tie Satin,Translation Error
6391,VE100-20-01,Boys white tie Bexton,Translation Error
6392,VE100-20-02,Boys champagne tie Bexton,Translation Error
6393,VE100-20-03,Boys silver tie Bexton,Translation Error
6394,VE100-20-04,Boys silver tie Damask,Translation Error
6395,VE100-20-05,Boys black tie Damask,Translation Error
6396,VE100-20-06,Boys champagne tie Damask,Translation Error
6397,VE100-20-07,Boys off white tie Damask,Translation Error
6398,VE100-20-08,Boys white tie Damask,Translation Error
6399,VE100-20-09,Boys white tie Niels,Translation Error
6400,VE100-20-10,Boys silver tie Niels,Translation Error
6401,VE100-20-11,Boys champagne tie Niels,Translation Error
6402,VE100-20-12,Boys white Oscar,Translation Error
6403,VE100-20-13,Boys silver tie Oscar,Translation Error
6404,VE100-20-14,Boys off white tie Oscar,Translation Error
6405,VE100-20-15,Boys navy tie Damask,Translation Error
6407,VE100-20-17,Boys gold tie Damask,Translation Error
6480,VE200-01,Skinny white tie bexton,Translation Error
6481,VE200-02,Skinny champagne tie bexton,Translation Error
6482,VE200-03,Skinny silver tie bexton,Translation Error
6483,VE200-04,Skinny silver tie damask,Translation Error
6484,VE200-05,Skinny black tie damask,Translation Error
6485,VE200-06,Skinny champagne tie damask,Translation Error
6486,VE200-07,Skinny off white tie damask,Translation Error
6487,VE200-08,Skinny white tie damask,Translation Error
6488,VE200-09,Skinny white tie niels,Translation Error
6489,VE200-10,Skinny silver tie niels,Translation Error
6491,VE200-12,Skinny white tie oscar,Translation Error
6492,VE200-14,Skinny off white tie oscar,Translation Error
6493,VE200-15,Skinny navy tie damask,Translation Error
6494,VE200-15-1,Skinny navy tie oscar,Translation Error
6584,VLT-100-17,Burgundy tie Velvet,Translation Error
6646,XM-700-2,Boys navy Christmas tie Reindeer,Translation Error
6647,XM-700-4,Boys navy Christmas tie Rudolf,Translation Error
6648,XM-700-6,Boys green Christmas tie Santa,Translation Error
6649,XM-800-2,Boys navy Christmas tie Reindeer,Translation Error
6650,XM-800-4,Boys navy Christmas tie Rudolf,Translation Error
6651,XM-800-5,Boys red Christmas tie Festive,Translation Error
6652,XM-800-6,Boys green Christmas tie Festive,Translation Error
6653,XM100-10,Red Christmas tie Penguin,Translation Error
6654,XM100-11,Red Christmas tie Celebrations,Translation Error
6655,XM100-12,Red Christmas tie Dogs,Translation Error
6657,XM100-14,Burgundy Christmas tie Decor,Translation Error
6658,XM100-7,Christmas tie Elfs,Translation Error
6660,XM100-9,Blue Christmas tie Happy Santa,Translation Error
