SKU,Display Name
PSLY200-223,Skinny green paisley tie
PSLY200-239,Skinny pink paisley tie
PSS-100-01,Red paisley tie
PSS-100-02,Brown paisley tie
PSS-100-03,Blue paisley tie
SA100-10,Blue tie Satin
SA100-21,Pink tie Satin
SA100-40,Red tie Satin
ST-100-02,Striped tie Cannes
ST-100-07,Grey floral tie Anemone
ST-100-08,Striped tie Oslo
ST-100-09,Striped tie Berlin
ST-100-11,Striped London
VE100-01,White tie Bexton
VE100-03,Silver tie Bexton
VE100-04,Silver tie Damask
VE100-05,Black tie Damask
VE100-06,Champagne tie Damask
VE100-07,Off white tie Damask
VE100-08-,White tie Damask
VE100-09,White tie Niels
VE100-10,Silver tie Niels
VE100-10-02,Boys champagne tie Bexton
VE100-10-03,Boys silver Bexton
VE100-10-05,Boys black tie Damask
VE100-10-06,Boys champagne tie Damask
VE100-10-07,Boys off white tie Damask
VE100-10-08-,Boys white tie Damask
VE100-10-09,Boys white tie Niels
VE100-10-10,Boys silver tie Niels
VE100-10-11,Boys champagne tie Niels
VE100-10-12,Boys white tie Oscar
VE100-10-13,Boys silver tie Oscar
VE100-10-14,Boys off white tie Oscar
VE100-10-15,Boys navy tie Damask
VE100-10-16,Boys burgundy tie Damask
VE100-10-17,Boys gold tie Damask
VE100-11,Champagne tie Niels
VE100-12,White tie Oscar
VE100-13,Silver tie Oscar
VE100-15,Navy tie Damask
VE100-15-1,Navy tie Oscar
VE100-16,Burgundy tie Damask
VE100-17,Gold tie Damask
VE100-18,Black tie Satin
VE100-20-01,Boys white tie Bexton
VE100-20-02,Boys champagne tie Bexton
VE100-20-03,Boys silver tie Bexton
VE100-20-04,Boys silver tie Damask
VE100-20-05,Boys black tie Damask
VE100-20-06,Boys champagne tie Damask
VE100-20-07,Boys off white tie Damask
VE100-20-08,Boys white tie Damask
VE100-20-09,Boys white tie Niels
VE100-20-10,Boys silver tie Niels
VE100-20-11,Boys champagne tie Niels
VE100-20-12,Boys white Oscar
VE100-20-13,Boys silver tie Oscar
VE100-20-14,Boys off white tie Oscar
VE100-20-15,Boys navy tie Damask
VE100-20-16,Boys burgundy tie Damask
VE100-20-17,Boys gold tie Damask
VE100-20-18,Boys black tie Satin
VE200-01,Skinny white tie bexton
VE200-02,Skinny champagne tie bexton
VE200-03,Skinny silver tie bexton
VE200-04,Skinny silver tie damask
VE200-05,Skinny black tie damask
VE200-06,Skinny champagne tie damask
VE200-07,Skinny off white tie damask
VE200-08,Skinny white tie damask
VE200-09,Skinny white tie niels
VE200-10,Skinny silver tie niels
VE200-12,Skinny white tie oscar
VE200-14,Skinny off white tie oscar
VE200-15,Skinny navy tie damask
VE200-15-1,Skinny navy tie oscar
VLT-100-17,Burgundy tie Velvet
XM-700-2,Boys navy Christmas tie Reindeer
XM-700-4,Boys navy Christmas tie Rudolf
XM-700-6,Boys green Christmas tie Santa
XM-800-2,Boys navy Christmas tie Reindeer
XM-800-4,Boys navy Christmas tie Rudolf
XM-800-5,Boys red Christmas tie Festive
XM-800-6,Boys green Christmas tie Festive
XM100-10,Red Christmas tie Penguin
XM100-11,Red Christmas tie Celebrations
XM100-12,Red Christmas tie Dogs
XM100-13,Navy Christmas tie Snowboard
XM100-14,Burgundy Christmas tie Decor
XM100-7,Christmas tie Elfs
XM100-9,Blue Christmas tie Happy Santa
